Location,Location_not_on_list,Date,Area,G5,G7,G8,G10,G23,G21,G22,G24,G25,G26,G27,G30,G31,G33,G32,G34,G35,G49,G50,G59,G66,G67,G70,G79,G80,G82,G83,G95,G96,G97,G100,G91,G211,G89,G101,G200,G204,G178,G174,G175,G177,G191,G198,G151,G152,G153,G156,G158,G159,G165,G161,G125,G126,G1,G3,G4,G9,G11,G12,G13,G14,G15,G16,G17,G18,G19,G28,G29,G84,G85,G86,G87,G88,G90,G98,G99,G102,G124,G60,G62,G63,G64,G65,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G52,G54,G56,G57,G58,G68,G69,G71,G73,G92,G213,G139,G140,G142,G145,G202,G203,G205,G187,G188,G189,G179,G180,G182,G184,G186,G199,G176,G150,G154,G162,G163,G164,G160,G172,G127,G128,G130,G131
rancho_cordova,CC 5_11_2016 Spillway water Ph.8.6,2016-05-11,285,9,5,1,2,1,5,1,6,5,0,83,22,1,2,6,0,8,1,0,1,1,6,0,8,1,140,1,0,0,0,0,0,0,2,0,8,0,3,1,0,4,2,0,0,3,6,9,1,0,0,2,1,1,0,7,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
rancho_cordova,CC 5_11_2016 Spillway water Ph.8.6,2016-05-11,285,9,5,1,2,1,5,1,6,5,0,83,22,1,2,6,0,8,1,0,1,1,6,0,8,1,140,1,0,0,0,0,0,0,2,0,8,0,3,1,0,4,2,0,0,3,6,9,1,0,0,2,1,1,0,7,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
rancho_cordova,CCM 5_18_2016 11:15,2016-05-18,285,12,9,0,2,4,8,0,9,4,0,17,23,1,2,3,0,3,0,0,0,1,7,0,13,0,72,0,0,1,0,0,0,0,3,1,1,0,1,1,3,3,0,0,2,1,3,5,0,1,0,3,0,2,0,10,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
rancho_cordova,CCM 5_25_2016,2016-05-25,285,7,7,7,3,3,10,1,14,8,3,94,43,1,13,4,0,5,0,2,2,0,2,0,21,2,68,1,0,4,0,0,0,0,1,0,1,0,1,0,1,3,0,0,0,2,10,5,2,1,0,2,1,0,0,9,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
clear_lake,,2015-11-29,700,0,0,1,2,0,2,0,0,0,0,10,8,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,28,0,2,0,0,0,0,0,0,0,12,9,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
clear_lake,,2015-11-22,300,0,3,1,0,0,0,0,0,0,0,0,6,0,1,1,1,0,0,1,1,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,3,0,1,0,9,0,0,0,0,0,5,10,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
clear_lake,,2015-12-26,700,0,0,1,2,1,3,0,0,6,0,17,7,0,5,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,14,0,3,1,3,0,1,2,2,7,9,17,0,0,0,1,0,1,0,105,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
clear_lake,,2016-01-10,700,0,1,0,0,2,4,0,0,0,0,18,17,0,3,0,0,0,0,0,2,0,0,0,18,0,2,1,0,0,0,0,0,0,0,1,17,0,4,0,2,0,0,2,0,1,0,3,0,0,0,1,0,0,0,18,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
clear_lake,,2016-01-24,567,0,0,2,0,0,3,0,0,0,0,31,0,1,8,3,0,2,1,0,1,1,0,0,0,0,5,0,0,3,0,0,0,0,0,0,19,0,11,0,0,6,0,0,0,1,2,26,0,0,0,0,2,1,0,10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
clear_lake,,2016-02-28,657,2,2,6,0,5,0,0,2,3,0,48,5,2,0,0,0,1,0,0,5,0,8,0,0,24,0,3,0,0,0,0,0,1,0,0,4,0,2,0,2,3,0,0,0,0,0,20,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
clear_lake,,2016-03-27,597,0,2,3,0,0,11,0,1,4,3,110,0,2,5,3,1,4,1,2,1,1,0,0,0,0,50,0,0,0,0,0,0,0,0,1,15,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clear_lake,,2016-05-01,597,0,1,0,0,2,8,1,2,0,0,53,3,0,2,2,0,4,1,6,4,3,0,0,0,16,0,0,0,1,0,0,0,0,0,0,26,4,7,0,2,0,0,0,0,0,0,27,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
